Course,Faculty,Section,Day,Start Time,End Time,Room
ACT201,SHO,1,SUNDAY,14:00:00,15:20:00,09G-31T
ACT201,SHO,1,TUESDAY,14:00:00,15:20:00,07A-01C
ACT201,SHO,2,SUNDAY,14:00:00,15:20:00,09G-31T
ACT201,SHO,2,SUNDAY,17:00:00,18:20:00,09G-31T
ACT201,SHO,3,SUNDAY,14:00:00,15:20:00,09G-31T
ACT201,SHO,3,TUESDAY,15:30:00,16:50:00,07A-01C
ACT201,SPC,4,SUNDAY,12:30:00,13:50:00,07A-03C
ACT201,SPC,4,TUESDAY,12:30:00,13:50:00,07A-03C
ACT201,TBR,5,MONDAY,14:00:00,15:20:00,07A-03C
ACT201,TBR,5,WEDNESDAY,14:00:00,15:20:00,07A-03C
ACT201,TBR,6,MONDAY,15:30:00,16:50:00,07A-03C
ACT201,TBR,6,WEDNESDAY,15:30:00,16:50:00,07A-03C
ACT201,HMF,7,MONDAY,14:00:00,15:20:00,07D-21C
ACT201,HMF,7,WEDNESDAY,15:30:00,16:50:00,09G-31T
ACT201,HMF,8,MONDAY,15:30:00,16:50:00,07A-01C
ACT201,HMF,8,WEDNESDAY,15:30:00,16:50:00,09G-31T
ACT201,AFZ,9,SUNDAY,12:30:00,13:50:00,07A-01C
ACT201,AFZ,9,TUESDAY,14:00:00,15:20:00,09G-31T
ACT201,AFZ,10,SUNDAY,14:00:00,15:20:00,07A-01C
ACT201,AFZ,10,TUESDAY,14:00:00,15:20:00,09G-31T
ACT201,KUR,11,SATURDAY,09:30:00,10:50:00,07A-02C
ACT201,KUR,11,THURSDAY,09:30:00,10:50:00,07A-02C
ACT201,KUR,12,SATURDAY,11:00:00,12:20:00,07A-02C
ACT201,KUR,12,THURSDAY,11:00:00,12:20:00,07A-02C
ACT201,SFT,13,SUNDAY,12:30:00,13:50:00,07A-04C
ACT201,SFT,13,TUESDAY,12:30:00,13:50:00,07A-04C
ACT201,RBL,14,SUNDAY,14:00:00,15:20:00,07A-02C
ACT201,RBL,14,TUESDAY,14:00:00,15:20:00,07A-02C
ACT201,RBL,15,MONDAY,15:30:00,16:50:00,07D-21C
ACT201,RBL,15,WEDNESDAY,15:30:00,16:50:00,07D-21C
ACT201,NCD,16,MONDAY,09:30:00,10:50:00,12H-36C
ACT201,NCD,16,WEDNESDAY,09:30:00,10:50:00,12H-36C
ACT202,SPC,1,MONDAY,11:00:00,12:20:00,07A-03C
ACT202,SPC,1,WEDNESDAY,11:00:00,12:20:00,07A-03C
ACT202,SDO,2,MONDAY,15:30:00,16:50:00,30PM
ACT202,SDO,2,MONDAY,17:00:00,18:20:00,30PM
ACT202,SDO,3,MONDAY,15:30:00,16:50:00,09G-31T
ACT202,SDO,3,WEDNESDAY,14:00:00,15:20:00,07A-02C
ACT202,SDO,4,MONDAY,15:30:00,16:50:00,09G-31T
ACT202,SDO,4,WEDNESDAY,15:30:00,16:50:00,07A-02C
ACT202,SFT,5,MONDAY,09:30:00,10:50:00,07A-01C
ACT202,SFT,5,WEDNESDAY,09:30:00,10:50:00,07A-01C
ACT202,SFT,6,MONDAY,11:00:00,12:20:00,07A-04C
ACT202,SFT,6,WEDNESDAY,11:00:00,12:20:00,07A-04C
ACT202,RBL,7,SUNDAY,17:00:00,18:20:00,07A-06C
ACT202,RBL,7,TUESDAY,17:00:00,18:20:00,07A-06C
ACT301,SPC,1,MONDAY,12:30:00,13:50:00,12H-36C
ACT301,SPC,1,WEDNESDAY,12:30:00,13:50:00,12H-36C
ACT301,HMF,2,SUNDAY,11:00:00,12:20:00,12H-36C
ACT301,HMF,2,TUESDAY,11:00:00,12:20:00,12H-36C
ACT421,,1,SATURDAY,12:30:00,13:50:00,FT11-02L
ACT421,,1,SATURDAY,14:00:00,15:20:00,FT11-02L
ACT422,SFT,1,SUNDAY,15:30:00,16:50:00,07A-02C
ACT422,SFT,1,TUESDAY,15:30:00,16:50:00,07A-02C
ACT423,AFZ,1,MONDAY,15:30:00,16:50:00,12H-36C
ACT423,AFZ,1,WEDNESDAY,15:30:00,16:50:00,12H-36C
ACT427,AFZ,1,MONDAY,17:00:00,18:20:00,07A-05C
ACT427,AFZ,1,WEDNESDAY,17:00:00,18:20:00,07A-05C
ACT429,NCD,1,SATURDAY,11:00:00,12:20:00,07A-03C
ACT429,NCD,1,THURSDAY,11:00:00,12:20:00,07A-03C
ACT431,NCD,1,SATURDAY,09:30:00,10:50:00,07A-03C
ACT431,NCD,1,THURSDAY,09:30:00,10:50:00,07A-03C
ACT511,,1,MONDAY,14:00:00,14:55:00,10A-06L
ACT511,,1,WEDNESDAY,14:00:00,14:55:00,10A-06L
ACT620,,1,SUNDAY,18:30:00,21:30:00,07A-06C
ACT620,KUR,2,MONDAY,18:30:00,21:30:00,07A-01C
ACT620,GAH,3,TUESDAY,18:30:00,21:30:00,07A-01C
ACT701,,1,SATURDAY,18:30:00,21:30:00,07H-29C
ANT101,SES,1,SUNDAY,14:00:00,15:20:00,09C-16T
ANT101,SES,1,TUESDAY,14:00:00,15:20:00,09C-16T
ANT101,SES,2,SUNDAY,14:00:00,15:20:00,09C-16T
ANT101,SES,2,TUESDAY,14:00:00,15:20:00,09C-16T
ANT101,MZC,3,SUNDAY,12:30:00,13:50:00,08D-12C
ANT101,MZC,3,TUESDAY,12:30:00,13:50:00,08D-12C
ANT101,MZC,4,MONDAY,17:00:00,18:20:00,09C-16T
ANT101,MZC,4,WEDNESDAY,17:00:00,18:20:00,09C-16T
ANT101,MZC,5,MONDAY,17:00:00,18:20:00,09C-16T
ANT101,MZC,5,WEDNESDAY,17:00:00,18:20:00,09C-16T
ANT101,NSE,6,THURSDAY,17:00:00,18:20:00,08B-10C
ANT101,NSE,6,SATURDAY,17:00:00,18:20:00,08B-10C
ANT101,NSE,7,SUNDAY,15:30:00,16:50:00,09C-16T
ANT101,NSE,7,TUESDAY,15:30:00,16:50:00,09C-16T
ANT101,NBD,8,SATURDAY,09:30:00,10:50:00,08D-12C
ANT101,NBD,8,THURSDAY,09:30:00,10:50:00,08D-12C
ANT101,NBD,9,SATURDAY,12:30:00,13:50:00,08D-12C
ANT101,NBD,9,THURSDAY,12:30:00,13:50:00,08D-12C
ANT101,NBD,10,SUNDAY,09:30:00,10:50:00,08D-12C
ANT101,NBD,10,TUESDAY,09:30:00,10:50:00,08D-12C
ANT101,NBD,11,SATURDAY,15:30:00,16:50:00,07A-09C
ANT101,NBD,11,THURSDAY,15:30:00,16:50:00,07A-09C
ANT101,NNZ,12,SATURDAY,09:30:00,10:50:00,07A-09C
ANT101,NNZ,12,THURSDAY,09:30:00,10:50:00,07A-09C
ANT101,NNZ,13,SATURDAY,11:00:00,12:20:00,07A-09C
ANT101,NNZ,13,THURSDAY,11:00:00,12:20:00,07A-09C
ANT101,NNZ,14,MONDAY,08:00:00,09:20:00,08D-12C
ANT101,NNZ,14,WEDNESDAY,08:00:00,09:20:00,08D-12C
ANT101,INSZM,15,SATURDAY,09:30:00,10:50:00,08B-10C
ANT101,INSZM,15,THURSDAY,09:30:00,10:50:00,08B-10C
ANT101,NSE,16,SUNDAY,15:30:00,16:50:00,09C-16T
ANT101,NSE,16,TUESDAY,15:30:00,16:50:00,09C-16T
ANT101,NSE,17,SATURDAY,15:30:00,16:50:00,08D-12C
ANT101,NSE,17,THURSDAY,15:30:00,16:50:00,08D-12C
ANT103,,1,MONDAY,15:00:00,15:55:00,11A-09L
ANT103,,1,WEDNESDAY,15:00:00,15:55:00,11A-09L
ANT202,MET,1,MONDAY,14:00:00,15:20:00,08D-12C
ANT202,MET,1,WEDNESDAY,14:00:00,15:20:00,08D-12C
ANT311,MZC,1,SUNDAY,09:30:00,10:50:00,08B-10C
ANT311,MZC,1,TUESDAY,09:30:00,10:50:00,08B-10C
ANT320,SZM,1,SATURDAY,12:30:00,13:50:00,08B-10C
ANT320,SZM,1,THURSDAY,12:30:00,13:50:00,08B-10C
ANT350,SES,1,SUNDAY,11:00:00,12:20:00,08D-12C
ANT350,SES,1,TUESDAY,11:00:00,12:20:00,08D-12C
ANT351,SHR,1,MONDAY,12:30:00,13:50:00,08D-12C
ANT351,SHR,1,WEDNESDAY,12:30:00,13:50:00,08D-12C
APE400,,1,FRIDAY,18:00:00,21:00:00,11A-03L
APE450,,1,FRIDAY,18:00:00,21:00:00,11A-03L
ARC101,ZFA,1,SUNDAY,09:00:00,12:05:00,11A-07L
ARC101,ZFA,1,TUESDAY,09:00:00,12:05:00,11A-07L
ARC101,ZFA,1,THURSDAY,09:00:00,12:05:00,11A-07L
ARC101,ZFA,2,SUNDAY,09:00:00,12:05:00,11A-07L
ARC101,ZFA,2,TUESDAY,09:00:00,12:05:00,11A-07L
ARC101,ZFA,2,THURSDAY,09:00:00,12:05:00,11A-07L
ARC102,,1,SUNDAY,09:00:00,12:05:00,11A-09L
ARC102,,1,TUESDAY,09:00:00,12:05:00,11A-09L
ARC102,,1,THURSDAY,09:00:00,12:05:00,11A-09L
ARC102,,2,SUNDAY,09:00:00,12:05:00,11A-09L
ARC102,,2,TUESDAY,09:00:00,12:05:00,11A-09L
ARC102,,2,THURSDAY,09:00:00,12:05:00,11A-09L
ARC111,,1,MONDAY,09:00:00,12:05:00,11A-07L
ARC111,,1,WEDNESDAY,09:00:00,12:05:00,11A-07L
ARC111,,2,MONDAY,09:00:00,12:05:00,11A-08L
ARC111,,2,WEDNESDAY,09:00:00,12:05:00,11A-08L
ARC112,,1,MONDAY,09:00:00,12:05:00,11A-09L
ARC113,,1,SUNDAY,14:00:00,16:55:00,11B-20L
ARC113,,2,MONDAY,09:00:00,12:05:00,11B-20L
ARC121,SMG,1,MONDAY,12:15:00,13:10:00,11A-08L
ARC121,SMG,1,WEDNESDAY,12:15:00,13:10:00,11A-08L
ARC121,,2,MONDAY,14:00:00,14:55:00,11A-07L
ARC121,,2,WEDNESDAY,14:00:00,14:55:00,11A-07L
ARC122,,1,MONDAY,12:15:00,13:10:00,11A-07L
ARC122,,1,WEDNESDAY,12:15:00,13:10:00,11A-07L
ARC122,,2,MONDAY,14:00:00,14:55:00,11A-08L
ARC122,,2,WEDNESDAY,14:00:00,14:55:00,11A-08L
ARC123,,1,MONDAY,12:15:00,13:10:00,11A-09L
ARC123,,1,WEDNESDAY,12:15:00,13:10:00,11A-09L
ARC201,,1,SUNDAY,09:00:00,12:05:00,11A-10L
ARC201,,1,TUESDAY,09:00:00,12:05:00,11A-10L
ARC201,,1,THURSDAY,09:00:00,12:05:00,11A-10L
ARC201,,2,SUNDAY,09:00:00,12:05:00,11A-11L
ARC201,,2,TUESDAY,09:00:00,12:05:00,11A-11L
ARC201,,2,THURSDAY,09:00:00,12:05:00,11A-11L
ARC202,,1,SUNDAY,09:00:00,12:05:00,11A-12L
ARC202,,1,TUESDAY,09:00:00,12:05:00,11A-12L
ARC202,,1,THURSDAY,09:00:00,12:05:00,11A-12L
ARC202,,2,SUNDAY,09:00:00,12:05:00,11A-13L
ARC202,,2,TUESDAY,09:00:00,12:05:00,11A-13L
ARC202,,2,THURSDAY,09:00:00,12:05:00,11A-13L
ARC214,,1,WEDNESDAY,09:00:00,12:05:00,11B-20L
ARC214,,2,WEDNESDAY,14:00:00,16:55:00,11B-20L
ARC224,,1,MONDAY,12:15:00,13:10:00,11A-12L
ARC224,,1,WEDNESDAY,12:15:00,13:10:00,11A-12L
ARC224,,2,MONDAY,14:00:00,14:55:00,11A-13L
ARC224,,2,WEDNESDAY,14:00:00,14:55:00,11A-13L
ARC225,,1,MONDAY,12:15:00,13:10:00,11B-25L
ARC225,,1,WEDNESDAY,12:15:00,13:10:00,11B-25L
ARC231,,1,MONDAY,11:10:00,12:05:00,11B-25L
ARC231,,1,WEDNESDAY,11:10:00,12:05:00,11B-25L
ARC232,,1,MONDAY,14:00:00,14:55:00,10A-07L
ARC232,,1,WEDNESDAY,14:00:00,14:55:00,10A-07L
ARC232,,2,MONDAY,15:00:00,15:55:00,11D-32L
ARC232,,2,WEDNESDAY,15:00:00,15:55:00,11D-32L
ARC241,,1,MONDAY,14:00:00,14:55:00,11A-10L
ARC241,,1,WEDNESDAY,14:00:00,14:55:00,11A-10L
ARC242,,1,SUNDAY,14:00:00,14:55:00,11A-12L
ARC242,,1,MONDAY,15:00:00,15:55:00,11A-12L
ARC242,,2,SUNDAY,15:00:00,15:55:00,11A-13L
ARC242,,2,MONDAY,16:00:00,16:55:00,11A-13L
ARC251,,1,MONDAY,12:15:00,13:10:00,11A-11L
ARC251,,1,WEDNESDAY,12:15:00,13:10:00,11A-11L
ARC252,,1,MONDAY,15:00:00,15:55:00,11A-10L
ARC252,,1,WEDNESDAY,15:00:00,15:55:00,11A-10L
ARC292,,1,THURSDAY,14:00:00,16:55:00,11B-24L
ARC294,,1,TUESDAY,14:00:00,16:55:00,11A-07L
ARC300,,1,FRIDAY,10:00:00,13:00:00,11A-07L
ARC301,,1,TUESDAY,09:00:00,13:10:00,11B-25L
ARC301,,1,THURSDAY,09:00:00,13:10:00,11B-25L
ARC301,,1,SUNDAY,09:00:00,13:10:00,11B-25L
ARC302,,1,SUNDAY,09:00:00,13:10:00,11B-24L
ARC302,,1,TUESDAY,09:00:00,13:10:00,11B-24L
ARC302,,1,THURSDAY,09:00:00,13:10:00,11B-24L
ARC311,,1,THURSDAY,14:00:00,16:55:00,10A-07L
ARC311,,2,THURSDAY,14:00:00,16:55:00,10A-08L
ARC312,,1,THURSDAY,14:00:00,16:55:00,11B-20L
ARC312,,2,TUESDAY,14:00:00,16:55:00,11B-20L
ARC315,,1,MONDAY,14:00:00,16:55:00,11B-20L
ARC326,,1,MONDAY,12:15:00,13:10:00,11D-32L
ARC326,,1,WEDNESDAY,12:15:00,13:10:00,11D-32L
ARC326,,2,MONDAY,12:15:00,13:10:00,10A-06L
ARC326,,2,WEDNESDAY,12:15:00,13:10:00,10A-06L
ARC327,,1,MONDAY,11:10:00,12:05:00,10A-07L
ARC327,,1,WEDNESDAY,11:10:00,12:05:00,10A-07L
ARC331,,1,MONDAY,15:00:00,15:55:00,11B-24L
ARC331,,1,WEDNESDAY,15:00:00,15:55:00,11B-24L
ARC343,,1,MONDAY,09:00:00,09:55:00,11B-25L
ARC343,,1,WEDNESDAY,09:00:00,09:55:00,11B-25L
ARC394,,1,MONDAY,14:00:00,14:55:00,11B-24L
ARC394,,1,WEDNESDAY,14:00:00,14:55:00,11B-24L
ARC401,,1,SUNDAY,09:00:00,13:10:00,11B-23L
ARC401,,1,TUESDAY,09:00:00,13:10:00,11B-23L
ARC401,,1,THURSDAY,09:00:00,13:10:00,11B-23L
ARC401,,1,SUNDAY,14:00:00,16:55:00,11B-23L
ARC402,,1,SUNDAY,09:00:00,13:10:00,10A-06L
ARC402,,1,TUESDAY,09:00:00,13:10:00,10A-06L
ARC402,,1,THURSDAY,09:00:00,13:10:00,10A-06L
ARC402,,1,SUNDAY,14:00:00,16:55:00,10A-06L
ARC411,,2,SUNDAY,14:00:00,16:55:00,11A-10L
ARC411,,1,SUNDAY,14:00:00,16:55:00,11A-09L
ARC412,,1,SUNDAY,14:00:00,16:55:00,10A-06L
ARC412,,2,SUNDAY,14:00:00,16:55:00,10A-08L
ARC413,,1,TUESDAY,15:00:00,16:55:00,11B-23L
ARC431,,1,SATURDAY,10:05:00,12:05:00,10A-09L
ARC432,,1,MONDAY,14:00:00,14:55:00,11B-23L
ARC432,,1,WEDNESDAY,14:00:00,14:55:00,11B-23L
ARC441,,1,MONDAY,15:00:00,15:55:00,11B-23L
ARC441,,1,WEDNESDAY,15:00:00,15:55:00,11B-23L
ARC452,,1,WEDNESDAY,12:10:00,13:05:00,11A-07L
ARC452,,1,MONDAY,12:10:00,13:05:00,11A-07L
ARC491,,1,MONDAY,15:00:00,15:55:00,10A-09L
ARC491,,1,WEDNESDAY,15:00:00,15:55:00,10A-09L
ARC501,,1,SUNDAY,09:00:00,13:10:00,10A-07L
ARC501,,1,TUESDAY,09:00:00,13:10:00,10A-07L
ARC501,,1,THURSDAY,09:00:00,13:10:00,10A-07L
ARC501,,1,SUNDAY,14:00:00,16:55:00,10A-07L
ARC502,,1,SUNDAY,09:00:00,13:10:00,10A-08L
ARC502,,1,TUESDAY,09:00:00,13:10:00,10A-08L
ARC502,,1,THURSDAY,09:00:00,13:10:00,10A-08L
ARC502,,1,SUNDAY,14:00:00,16:55:00,10A-08L
ARC502,,2,SUNDAY,09:00:00,13:10:00,10A-09L
ARC502,,2,TUESDAY,09:00:00,13:10:00,10A-09L
ARC502,,2,THURSDAY,09:00:00,13:10:00,10A-09L
ARC502,,2,SUNDAY,14:00:00,16:55:00,10A-09L
ARC503,,1,SUNDAY,09:00:00,13:10:00,10A-08L
ARC503,,1,TUESDAY,09:00:00,13:10:00,10A-08L
ARC503,,1,THURSDAY,09:00:00,13:10:00,10A-08L
ARC503,,1,SUNDAY,14:00:00,16:55:00,10A-08L
ARC503,,2,SUNDAY,09:00:00,13:10:00,10A-09L
ARC503,,2,TUESDAY,09:00:00,13:10:00,10A-09L
ARC503,,2,THURSDAY,09:00:00,13:10:00,10A-09L
ARC503,,2,SUNDAY,14:00:00,16:55:00,10A-09L
ARC511,,1,THURSDAY,14:00:00,16:55:00,10A-07L
ARC512,,1,THURSDAY,14:00:00,16:55:00,11D-32L
ARC522,,1,MONDAY,12:15:00,13:10:00,10A-06L
ARC522,,1,WEDNESDAY,12:15:00,13:10:00,10A-06L
ARC541,,1,MONDAY,14:00:00,14:55:00,11D-32L
ARC541,,1,WEDNESDAY,14:00:00,14:55:00,11D-32L
BCH101,,1,SUNDAY,08:00:00,09:20:00,10H-36C
BCH101,,1,TUESDAY,08:00:00,09:20:00,10H-36C
BCH101,AFSR,2,SUNDAY,08:00:00,09:20:00,10H-37C
BCH101,AFSR,2,TUESDAY,08:00:00,09:20:00,10H-37C
BCH101,ADSD,3,MONDAY,08:00:00,09:20:00,10H-36C
BCH101,ADSD,3,WEDNESDAY,08:00:00,09:20:00,10H-36C
BCH101,,4,MONDAY,08:00:00,09:20:00,10H-37C
BCH101,,4,WEDNESDAY,08:00:00,09:20:00,10H-37C
BCH101,,5,MONDAY,12:30:00,13:50:00,10B-17C
BCH101,,5,WEDNESDAY,12:30:00,13:50:00,10B-17C
BCH101,,6,SATURDAY,08:00:00,09:20:00,10B-18C
BCH101,,6,THURSDAY,08:00:00,09:20:00,10B-18C
BCH101,,7,MONDAY,15:30:00,16:50:00,10B-18C
BCH101,,7,WEDNESDAY,15:30:00,16:50:00,10B-18C
BCH101,,8,SUNDAY,12:30:00,13:50:00,07H-28C
BCH101,,8,TUESDAY,12:30:00,13:50:00,07H-28C
BCH102,SNU,1,MONDAY,14:00:00,15:20:00,10H-37C
BCH102,SNU,1,WEDNESDAY,14:00:00,15:20:00,10H-37C
BCH102,,2,MONDAY,08:00:00,09:20:00,10C-21C
BCH102,,2,WEDNESDAY,08:00:00,09:20:00,10C-21C
BCH102,SKNH,3,SATURDAY,09:30:00,10:50:00,10H-38C
